isin,symbol,company_name,yahoo_ticker,yahoo_sector,yahoo_industry,yahoo_quote_type,classification_status,classification_source,yahoo_failure_reason,attempted_at_utc,attempt_count
INE121N01019,THEJO,Thejo Engineering Limited,THEJO.NS,Industrials,Specialty Industrial Machinery,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE319Y01024,TIRUPATIFL,Tirupati Forge Limited,TIRUPATIFL.NS,Industrials,Metal Fabrication,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE336X01012,TOTAL,Total Transport Systems Limited,TOTAL.NS,Industrials,Integrated Freight & Logistics,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE486Y01013,TOUCHWOOD,Touchwood Entertainment Limited,TOUCHWOOD.NS,Communication Services,Advertising Agencies,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE202Z01029,TSFINV,TSF INVESTMENTS LIMITED,TSFINV.NS,Financial Services,Asset Management,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE481Z01011,UNIINFO,Uniinfo Telecom Services Limited,UNIINFO.NS,Communication Services,Telecom Services,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE458F01011,UNITEDTEA,The United Nilgiri Tea Estates Company Limited,UNITEDTEA.NS,Consumer Defensive,Farm Products,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE562X01013,UNIVASTU,Univastu India Limited,UNIVASTU.NS,Industrials,Engineering & Construction,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE972X01022,VAISHALI,Vaishali Pharma Limited,VAISHALI.NS,Healthcare,Drug Manufacturers - Specialty & Generic,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE116G01013,VARDHACRLC,Vardhman Acrylics Limited,VARDHACRLC.NS,Consumer Cyclical,Textile Manufacturing,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
