isin,symbol,company_name,series,bse_code,bse_sector,bse_industry,bse_industry_new,bse_i_group,bse_i_sub_group,classification_status,classification_source,failure_reason,attempted_at_utc,attempt_count
INE449G01018,AGRITECH,Agri-Tech (India) Limited,EQ,537292,Fast Moving Consumer Goods,Other Agricultural Products,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,CLASSIFIED,,,,0
INE740V01019,AGROPHOS,Agro Phos India Limited,EQ,,,,,,,BSE_RETRY,,No BSE code found for ISIN,2026-09-07T12:51:15Z,1
INE583L01014,AGSTRA,AGS Transact Technologies Limited,BZ,543451,Financial Services,Financial Technology (Fintech),Financial Services,Financial Technology (Fintech),Financial Technology (Fintech),CLASSIFIED,,,,0
INE0Y8W01025,AHCL,Anlon Healthcare Limited,EQ,544497,Healthcare,Pharmaceuticals,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,CLASSIFIED,,,,0
INE00PV01013,AHLADA,Ahlada Engineers Limited,EQ,,,,,,,BSE_RETRY,,No BSE code found for ISIN,2026-09-07T12:51:15Z,1
INE926K01017,AHLEAST,Asian Hotels (East) Limited,EQ,533227,Consumer Discretionary,Hotels & Resorts,Consumer Services,Leisure Services,Hotels & Resorts,CLASSIFIED,,,,0
INE758C01029,AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,532811,Industrials,Civil Construction,Construction,Construction,Civil Construction,CLASSIFIED,,,,0
INE915K01010,AHLWEST,Asian Hotels (West) Limited,BE,533221,Consumer Discretionary,Hotels & Resorts,Consumer Services,Leisure Services,Hotels & Resorts,CLASSIFIED,,,,0
INE212H01026,AIAENG,AIA Engineering Limited,EQ,532683,Industrials,Castings & Forgings,Capital Goods,Industrial Products,Castings & Forgings,CLASSIFIED,,,,0
INE206F01022,AIIL,Authum Investment & Infrastructure Limited,EQ,539177,Financial Services,Non Banking Financial Company (NBFC),Financial Services,Finance,Non Banking Financial Company (NBFC),CLASSIFIED,,,,0
INE645W01026,AIRAN,Airan Limited,EQ,543811,Information Technology,IT Enabled Services,Information Technology,IT - Services,IT Enabled Services,CLASSIFIED,,,,0
INE801L01010,AIROLAM,Airo Lam limited,EQ,,,,,,,BSE_RETRY,,No BSE code found for ISIN,2026-09-07T12:51:15Z,1
INE031B01049,AJANTPHARM,Ajanta Pharma Limited,EQ,532331,Healthcare,Pharmaceuticals,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,CLASSIFIED,,,,0
INE274Y01021,AJAXENGG,Ajax Engineering Limited,EQ,544356,Industrials,Construction Vehicles,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,CLASSIFIED,,,,0
INE298G01035,AJMERA,Ajmera Realty & Infra India Limited,EQ,513349,Consumer Discretionary,"Residential, Commercial Projects",Realty,Realty,"Residential, Commercial Projects",CLASSIFIED,,,,0
INE820Y01021,AJOONI,Ajooni Biotech Limited,EQ,,,,,,,BSE_RETRY,,No BSE code found for ISIN,2026-09-07T12:51:15Z,1
INE737W01013,AKASH,Akash Infra-Projects Limited,EQ,,,,,,,BSE_RETRY,,No BSE code found for ISIN,2026-09-07T12:51:15Z,1
INE701G01012,AKCAPIT,AK Capital Services Limited,EQ,530499,Financial Services,Non Banking Financial Company (NBFC),Financial Services,Finance,Non Banking Financial Company (NBFC),CLASSIFIED,,,,0
INE00Y801016,AKG,Akg Exim Limited,EQ,,,,,,,BSE_RETRY,,No BSE code found for ISIN,2026-09-07T12:51:15Z,1
INE642Z01026,AKI,AKI India Limited,EQ,542020,Consumer Discretionary,Leather And Leather Products,Consumer Durables,Consumer Durables,Leather And Leather Products,CLASSIFIED,,,,0
INE256Z01025,AKSHAR,Akshar Spintex Limited,EQ,541303,Consumer Discretionary,Other Textile Products,Textiles,Textiles & Apparels,Other Textile Products,CLASSIFIED,,,,0
INE542B01011,AKSHARCHEM,AksharChem India Limited,BE,524598,Commodities,Dyes And Pigments,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,CLASSIFIED,,,,0
INE523B01011,AKSHOPTFBR,Aksh Optifibre Limited,BE,532351,Telecommunication,Telecom -  Equipment & Accessories,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,CLASSIFIED,,,,0
INE09XN01023,AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ,544222,Healthcare,Pharmaceuticals,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,CLASSIFIED,,,,0
INE914E01040,ALANKIT,Alankit Limited,EQ,531082,Services,Diversified Commercial Services,Services,Commercial Services & Supplies,Diversified Commercial Services,CLASSIFIED,,,,0
INE155C01010,ALBERTDAVD,Albert David Limited,EQ,524075,Healthcare,Pharmaceuticals,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,CLASSIFIED,,,,0
INE426A01027,ALEMBICLTD,Alembic Limited,EQ,506235,Consumer Discretionary,"Residential, Commercial Projects",Realty,Realty,"Residential, Commercial Projects",CLASSIFIED,,,,0
INE782D01027,ALFREDHE,Alfred Herbert India Limited,EQ,505216,Financial Services,Non Banking Financial Company (NBFC),Financial Services,Finance,Non Banking Financial Company (NBFC),CLASSIFIED,,,,0
INE598D01035,ALGOQUANT,Algoquant Fintech Limited,EQ,505725,Financial Services,Stockbroking & Allied,Financial Services,Capital Markets,Stockbroking & Allied,CLASSIFIED,,,,0
INE062D01024,ALICON,Alicon Castalloy Limited,EQ,531147,Consumer Discretionary,Auto Components & Equipments,Automobile and Auto Components,Auto Components,Auto Components & Equipments,CLASSIFIED,,,,0
INE03Q201024,ALIVUS,Alivus Life Sciences Limited,EQ,543322,Healthcare,Pharmaceuticals,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,CLASSIFIED,,,,0
INE773I01017,ALKALI,Alkali Metals Limited,BE,533029,Commodities,Specialty Chemicals,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,CLASSIFIED,,,,0
INE540L01014,ALKEM,Alkem Laboratories Limited,EQ,539523,Healthcare,Pharmaceuticals,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,CLASSIFIED,,,,0
INE150B01039,ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,506767,Commodities,Specialty Chemicals,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,CLASSIFIED,,,,0
INE418H01029,ALLCARGO,Allcargo Logistics Limited,EQ,532749,Services,Logistics Solution Provider,Services,Transport Services,Logistics Solution Provider,CLASSIFIED,,,,0
INE835G01018,ALLDIGI,Alldigi Tech Limited,EQ,532633,Services,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),CLASSIFIED,,,,0
INE0GV601021,ALLTIME,All Time Plastics Limited,EQ,544479,Consumer Discretionary,Houseware,Consumer Durables,Consumer Durables,Houseware,CLASSIFIED,,,,0
INE326B01035,ALMONDZ,Almondz Global Securities Limited,EQ,531400,Financial Services,Stockbroking & Allied,Financial Services,Capital Markets,Stockbroking & Allied,CLASSIFIED,,,,0
INE270A01029,ALOKINDS,Alok Industries Limited,EQ,521070,Consumer Discretionary,Other Textile Products,Textiles,Textiles & Apparels,Other Textile Products,CLASSIFIED,,,,0
INE385I01010,ALPA,Alpa Laboratories Limited,EQ,532878,Healthcare,Pharmaceuticals,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,CLASSIFIED,,,,0
INE137C01018,ALPHAGEO,Alphageo (India) Limited,BE,526397,Energy,Offshore Support Solution Drilling,"Oil, Gas & Consumable Fuels",Oil,Offshore Support Solution Drilling,CLASSIFIED,,,,0
INE1JCQ01037,ALPINETEX,Alpine Texworld Limited,EQ,544825,Consumer Discretionary,Other Textile Products,Textiles,Textiles & Apparels,Other Textile Products,CLASSIFIED,,,,0
INE058F01019,ALUFLUOR,Alufluoride Limited,EQ,524634,Commodities,Commodity Chemicals,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,CLASSIFIED,,,,0
INE121R01077,AMAGI,Amagi Media Labs Limited,EQ,544679,Information Technology,IT Enabled Services,Information Technology,IT - Services,IT Enabled Services,CLASSIFIED,,,,0
INE841D01013,AMAL,Amal Limited,EQ,506597,Commodities,Specialty Chemicals,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,CLASSIFIED,,,,0
INE084K01015,AMANTA,Amanta Healthcare Limited,BE,544502,Healthcare,Pharmaceuticals,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,CLASSIFIED,,,,0
