symbol,company_name,series,isin,listing_date,classification_status,classification_source,sector,industry,basic_industry,yahoo_ticker,yahoo_sector,yahoo_industry,classification_failure_reason,yahoo_failure_reason
OSIAHYPER,Osia Hyper Retail Limited,BE,INE06IR01021,2022-12-01,YAHOO_FALLBACK,Yahoo Finance,,,,OSIAHYPER.NS,Consumer Cyclical,Department Stores,COMPANY_NAME: IndexError: tuple index out of range,
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,EQ,INE00IK01029,2023-02-28,YAHOO_FALLBACK,Yahoo Finance,,,,OSWALSEEDS.NS,Basic Materials,Agricultural Inputs,COMPANY_NAME: IndexError: tuple index out of range,
PANACHE,Panache Digilife Limited,BE,INE895W01019,2020-01-06,YAHOO_FALLBACK,Yahoo Finance,,,,PANACHE.NS,Technology,Communication Equipment,COMPANY_NAME: IndexError: tuple index out of range,
PANSARI,Pansari Developers Limited,EQ,INE697V01011,2021-10-18,YAHOO_FALLBACK,Yahoo Finance,,,,PANSARI.NS,Real Estate,Real Estate - Development,COMPANY_NAME: IndexError: tuple index out of range,
PAR,Par Drugs And Chemicals Limited,EQ,INE04LG01015,2021-09-16,YAHOO_FALLBACK,Yahoo Finance,,,,PAR.NS,Healthcare,Drug Manufacturers - Specialty & Generic,COMPANY_NAME: IndexError: tuple index out of range,
PKTEA,The Peria Karamalai Tea & Produce Company Limited,EQ,INE431F01018,2015-08-19,YAHOO_FALLBACK,Yahoo Finance,,,,PKTEA.NS,Consumer Defensive,Farm Products,COMPANY_NAME: IndexError: tuple index out of range,
PRECOT,Precot Limited,EQ,INE283A01014,2005-08-19,YAHOO_FALLBACK,Yahoo Finance,,,,PRECOT.NS,Consumer Cyclical,Textile Manufacturing,"No BSE code found using ISIN, symbol, or company name",
PRITI,Priti International Limited,BE,INE974Z01015,2022-03-02,YAHOO_FALLBACK,Yahoo Finance,,,,PRITI.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",COMPANY_NAME: IndexError: tuple index out of range,
QMSMEDI,QMS Medical Allied Services Limited,BE,INE0FMW01018,2026-06-18,YAHOO_FALLBACK,Yahoo Finance,,,,QMSMEDI.NS,Healthcare,Medical Instruments & Supplies,COMPANY_NAME: IndexError: tuple index out of range,
RAJMET,Rajnandini Metal Limited,EQ,INE00KV01022,2021-02-16,YAHOO_FALLBACK,Yahoo Finance,,,,RAJMET.NS,Basic Materials,Copper,COMPANY_NAME: IndexError: tuple index out of range,
REPL,Rudrabhishek Enterprises Limited,BE,INE364Z01019,2020-12-14,YAHOO_FALLBACK,Yahoo Finance,,,,REPL.NS,Industrials,Consulting Services,COMPANY_NAME: IndexError: tuple index out of range,
RKEC,RKEC Projects Limited,EQ,INE786W01010,2020-12-18,YAHOO_FALLBACK,Yahoo Finance,,,,RKEC.NS,Industrials,Engineering & Construction,COMPANY_NAME: IndexError: tuple index out of range,
